Responder,Question,ResponseType
29,7,More hospital information
28,7,No change
27,7,Tour
26,7,Interview location
25,7,More preceptors at meet and greet
24,7,Interview location
23,7,Dinner night before
20,7,No change
19,7,No change
17,7,Interview location
17,7,Dinner night before
16,7,Coffee
15,7,No change
14,7,No change
12,7,No change
11,7,No change
10,7,More preceptors at meet and greet
8,7,More preceptors at meet and greet
7,7,Interview location
7,7,MMI scenarios
6,7,No change
4,7,Interview location
