Responder,Question,OriginalResponse,ShortAnswer
29,1,"I looked at residencies in Houston and in Texas. I first learned about it through an email I got before Midyear, then stopped by the booth at Midyear.",Local / Looking at Houston
28,1,ASHP Residency Directory,ASHP Residency Directory
27,1,I am from the Houston area and have been familiar with Memorial Hermann since childhood.,Local / Looking at Houston
26,1,ASHP residency directory,ASHP Residency Directory
25,1,I have done rotations at your site,Local / Looking at Houston
24,1,"I used the ASHP residency program directory. I began looking at every program in each state that I would be interested in living for a year. Then, I went through every program and looked at what their program had to offer their residents.",ASHP Residency Directory
23,1,Referral from prior preceptor,Referred by someone
22,1,By searching on the ASHP residency directory,ASHP Residency Directory
21,1,ASHP Residency Directory,ASHP Residency Directory
20,1,PPS,PPS
19,1,I first learned about Memorial Hermann through a friend of mine who was considering applying at midyear. He recommended I should look into the program more fully.,Referred by someone
18,1,I learned about the program through a classmate who resides in Texas.,Referred by someone
17,1,ASHP directory,ASHP Residency Directory
16,1,Began search around location and narrowed based on interests,Local / Looking at Houston
15,1,PPS-PGY1 Director,PPS
14,1,ASHP residency directory search by state,ASHP Residency Directory
13,1,Houston residency showcase & Midyear residency showcase.,Local / Looking at Houston
12,1,"Local residency showcases, Midyear showcases and from upper classmen",Local / Looking at Houston
11,1,ASHP Online Residency Directory,ASHP Residency Directory
10,1,"PPS website and interview, as well as through a professor who did a residency at MHTM",PPS
9,1,I first learned about the PGY1 residency program at Memorial Hermann from APhA when searching for institutions that offered a PGY2 in Pediatrics.,ASHP Residency Directory
8,1,The ASHP Residency Directory,ASHP Residency Directory
7,1,ASHP's residency program list.,ASHP Residency Directory
6,1,The UH Residency showcase,Local / Looking at Houston
5,1,ASHP directory,ASHP Residency Directory
4,1,ASHP residency directory website,ASHP Residency Directory
3,1,Through the ASHP Online Residency Directory.,ASHP Residency Directory
2,1,I completed rotations in Houston so I knew about the hospital and how well-renowned it was,Local / Looking at Houston
1,1,Word of mouth and ASHP website.,ASHP Residency Directory
29,2,"elective rotations, required rotations, pgy-2 residency options, RPD, staffing component, friendliness of the residents and preceptors, teaching affiliation, teaching hospital",
28,2,"Fit with program, preceptors, overall happiness of current residents, PGY2 in areas of interest, patient population, teaching opportunities",
27,2,"Being in Houston, work-life balance, opportunities in Infectious Disease, well-rounded rotation options",
26,2,"Relationship with preceptors and co-residents, program curriculum, research opportunities",
25,2,location/PGY2 opportunities/happiness of the current residents,
24,2,"Area of interest, opportunities for PGY2, and location.",
23,2,Location Preceptor strength Rotation options Reputation of program State of pharmacy practice in the state,
22,2,Programs that offer rotations in areas I'm interested in,
21,2,"When making my decision I factored in how I felt that I ""fit"", PGY2 opportunities, and location.",
20,2,"Feeling I got from interview day. - staff interaction, strength of program, facility.",
19,2,The factors that were most important to me was my experience on the day of the interview specifically my interactions with everyone as well as how everyone interacted with each other. Other factors were the rotations offered by the program and the availability of PGY2.,
18,2,1. Ensuring that the program I choose would allow me to accomplish all my objectives by the end of the year 2. Relevant rotation experiences in the areas I am interested in 3. Working with preceptors that would challenge my knowledge base and with whom I would feel comfortable working with 4. It is also important that my rotation schedule is malleable to meet my needs 5. Training in an institution I could see myself working for as a future employee,
17,2,"PGY2 opportunities, preceptors, mentoring",
16,2,"Ease of early commitment, quality or resident projects, patient population, and location",
15,2,"Rotations in my interest areas, the people, the patient interactions, the location",
14,2,"gut feeling, PGY2s, location, rotations, preceptor credentials",
13,2,How strong I felt the clinical training experience would be and how well I felt I fit in with the people I met during my interview.,
12,2,"Areas of interest, residents' feedbacks, and well structured program",
11,2,"Overall strength of the program, rotation opportunities, and the interactions during the interview day with the preceptors and the residents.",
10,2,My Gut feeling when I left the interview. This was influenced by how welcome I felt as well as how happy the residents seemed with their program.,
9,2,"My interaction with the preceptors and pharmacy staff, location of the program, and availability of a Pediatrics rotation.",
8,2,"Quality of clinical experiences, quality of life of current residents, friendliness of preceptors, retention of PGY1 residents",
7,2,"Residents happyness, strong pharmacy presence, robust clinical cases, trauma center.",
6,2,- patient population - values/mission of hospital - culture of the hospital - co-residents (attitude/personalities) - quality of the preceptors/background/education,
5,2,Availability of clinical rotations Preceptors Working environment,
4,2,"Areas of interest (ie critical care) and other well rounded rotations, as well as feeling at the hospital and while interacting with the preceptors",
3,2,"I considered several factors. Honestly, my gut feeling as to whether I would fit the program and get along well with the individuals at that institution played a big part in my decision making process. Another factor was how personable the preceptors were during the interview day, in addition to how knowledgeable they are in general (which I tried to get at by learning more about the preceptors' residency training sites, mentors, and backgrounds). I will be spending an entire year learning from these individuals, and I do not think I will get the most out of my residency experience if I am intimidated by them or if I do not think the institution's teaching style is compatible with my learning style. I also considered how happy the residents seemed, and what their responses were to some of my questions -I looked at whether different residents responses were cohesive or not, and whether the residents seemed to get along well with each other. While there were several other factors that I looked at during the ranking process, these few that I have mentioned were probably the most important.",
2,2,"PGY2 opportunities in my area of interest, teaching certificate, ""vibe"" of the residents, what area of the country it is in",
1,2,"Overall feeling at the interview (how comfortable I was interacting with preceptors and residents), PGY1 rotation opportunities in my areas of interest, PGY2s in my areas of interest.",
29,3,"The residents were unprofessional with each other during the tour. One was very rude and condescending to the others, and it was distracting and very sad to see. The tour was disorganized and did not show the highlights of the hospital. They did however take us to places we requested, but there should be a guide or plan which they follow.",
28,3,The day went by very smoothly and we had different opportunities to ask questions. All preceptors were very receptive and were able to address all of our questions.,
27,3,Leigh acted incredibly unprofessional throughout the interview and bickered with Minoosh. She lead the tour and got the whole group lost several times. I would have preferred a more prepared/knowledgable tour guide.,
26,3,NA,
25,3,NA,
24,3,NA,
23,3,Tour seemed slightly disorganized and not really prepped. Residents all sat and talked together at lunch instead of with applicants.,
22,3,NA,
21,3,NA,
20,3,Some MMI scenarios were not fully explained. I was unaware that I could literally make up the end of the scenario. I was waiting on a que from the preceptors about whether or not something did in fact happen in order to give my response.,
19,3,NA,
18,3,NA,
17,3,NA,
16,3,NA,
15,3,NA,
14,3,NA,
13,3,NA,
12,3,NA,
11,3,NA,
10,3,The interview with the RPD was a bit awkward for the sole reason that the entire interview was based on asking me what one of my preceptors would say about me. In addition I felt like the RPD never truly got to know me.,
9,3,NA,
8,3,All interview participants were welcoming and friendly; the sessions were very informative and the tour was very detailed,
